supplier_name,phone,address
Lakeshore Home Medical Equipment,312-555-1001,"123 Lake Shore Dr, Chicago, IL"
Windy City Mobility & DME,312-555-1002,"456 Michigan Ave, Chicago, IL"
Prairie State Medical Supply,312-555-1003,"789 State St, Chicago, IL"
Midwest Mobility Solutions,708-555-2001,"12 Oak Ave, Oak Park, IL"
Chicagoland Rehab Supply,312-555-1004,"321 Clark St, Chicago, IL"
North Shore DME Partners,847-555-3001,"88 Green Bay Rd, Wilmette, IL"
Urban Care Medical Equipment,312-555-1005,"55 Wacker Dr, Chicago, IL"
Heartland Home Health Supply,630-555-4001,"200 Main St, Naperville, IL"
Great Lakes Wheelchair Co,312-555-1006,"900 Roosevelt Rd, Chicago, IL"
South Side Medical Depot,773-555-5001,"1500 S Halsted St, Chicago, IL"
Fox Valley Durable Medical,630-555-4002,"77 River Rd, Aurora, IL"
Metro Assistive Devices,312-555-1007,"10 LaSalle St, Chicago, IL"
